"date","time","size","version","os","country","ip_id"
"2022-12-19","00:52:10",92688891,"4.2.2","osx","US",65
"2022-12-19","00:52:09",92688891,"4.2.2","osx","US",14
"2022-12-19","00:54:19",90635520,"4.1.3","win","HK",96
"2022-12-19","00:54:17",79626490,"4.2.2","win",NA,13
"2022-12-19","00:54:24",92688891,"4.2.2","osx","US",78
"2022-12-19","00:52:34",91924167,"4.1.3","osx","US",14
"2022-12-19","00:52:34",90308934,"4.2.2","osx",NA,13
"2022-12-19","00:54:44",79627651,"4.2.2","win","AU",97
"2022-12-19","00:54:50",79626980,"4.2.2","win",NA,13
"2022-12-19","00:53:24",92688891,"4.2.2","osx","US",98
"2022-12-19","00:52:58",90825202,"4.1.2","osx","US",65
"2022-12-19","00:55:10",79538109,"4.2.2","win","KR",99
"2022-12-19","00:55:05",81774940,"3.6.3","osx","US",10
"2022-12-19","00:55:17",79630458,"4.2.2","win",NA,13
"2022-12-19","00:55:20",79538109,"4.2.2","win","GB",100
"2022-12-19","00:55:24",92688889,"4.2.2","osx","US",101
"2022-12-19","00:55:33",90304549,"4.2.2","osx",NA,13
"2022-12-19","00:55:43",79626122,"4.2.2","win","AU",102
"2022-12-19","00:54:02",91924167,"4.1.3","osx","US",14
"2022-12-19","00:54:14",92688891,"4.2.2","osx","US",65
"2022-12-19","00:56:11",90306590,"4.2.2","osx",NA,13
"2022-12-19","00:55:57",1049371,"4.2.2","win","CN",103
"2022-12-19","07:41:20",90825201,"4.1.2","osx","US",14
"2022-12-19","07:41:17",90825202,"4.1.2","osx","US",10
"2022-12-19","07:41:18",88238525,"4.0.3","win","US",104
"2022-12-19","07:41:20",79538110,"4.2.2","win","IL",105
"2022-12-19","07:41:17",86429689,"3.6.3","win","HK",96
"2022-12-19","07:41:16",79538104,"4.2.2","win","DE",106
"2022-12-19","07:41:34",90312027,"4.2.2","osx","IN",107
"2022-12-19","07:41:32",90304650,"4.2.2","osx","SE",108
"2022-12-19","07:41:32",79635183,"4.2.2","win","RU",109
"2022-12-19","07:41:45",79626849,"4.2.2","win","ID",110
"2022-12-19","07:41:41",90635521,"4.1.3","win","US",111
"2022-12-19","07:41:43",90314053,"4.2.2","osx","DE",112
"2022-12-19","07:41:39",79627605,"4.2.2","win","KR",113
"2022-12-19","07:41:56",92793249,"4.2.2","osx","SE",108
"2022-12-19","07:42:02",92688890,"4.2.2","osx","US",114
"2022-12-19","07:41:38",79538109,"4.2.2","win",NA,13
"2022-12-19","07:42:12",79627704,"4.2.2","win","GB",115
"2022-12-19","07:41:11",79627073,"4.2.2","win","FR",116
"2022-12-19","07:42:19",79629071,"4.2.2","win","GB",117
"2022-12-19","07:42:23",92802546,"4.2.2","osx","DE",112
"2022-12-19","07:42:20",79626328,"4.2.2","win","KR",118
"2022-12-19","07:42:26",79627687,"4.2.2","win","ID",119
"2022-12-19","07:42:43",90825202,"4.1.2","osx","US",120
"2022-12-19","07:42:49",79625715,"4.2.2","win","JP",121
"2022-12-19","07:43:12",92795706,"4.2.2","osx","FI",122
"2022-12-19","07:43:23",79626741,"4.2.2","win","IN",123
"2022-12-19","07:43:18",79538106,"4.2.2","win","US",124
"2022-12-19","07:43:35",90304856,"4.2.2","osx",NA,13
"2022-12-19","07:43:41",79630621,"4.2.2","win","CN",125
"2022-12-19","07:43:49",4199551,"4.2.0","src","US",126
"2022-12-19","07:43:55",79632169,"4.2.2","win","SE",127
"2022-12-19","07:43:52",90307864,"4.2.2","osx","SE",128
"2022-12-19","07:43:50",79627507,"4.2.2","win",NA,13
"2022-12-19","07:43:55",79626390,"4.2.2","win","TW",129
"2022-12-19","07:44:07",79628955,"4.2.2","win","SA",130
"2022-12-19","07:44:20",79626219,"4.2.2","win","MU",131
"2022-12-19","07:44:22",34025436,"4.2.2","src","PH",132
"2022-12-19","07:44:39",92688887,"4.2.2","osx","US",98
"2022-12-19","07:44:22",79626740,"4.2.2","win","KR",133
"2022-12-19","07:44:43",79630822,"4.2.2","win","CN",134
"2022-12-19","07:44:53",34029293,"4.2.2","src","CH",135
"2022-12-19","07:45:20",79626418,"4.2.2","win","IN",136
"2022-12-19","07:45:18",92688889,"4.2.2","osx","US",98
"2022-12-19","07:45:28",79627136,"4.2.2","win","DE",137
"2022-12-19","07:45:27",79626563,"4.2.2","win",NA,13
"2022-12-19","07:45:45",79630737,"4.2.2","win","VN",138
"2022-12-19","07:46:00",90304243,"4.2.2","osx",NA,13
"2022-12-19","11:51:25",79538104,"4.2.2","win","KR",139
"2022-12-19","11:51:30",79631475,"4.2.2","win","TW",140
"2022-12-19","11:51:29",90303715,"4.2.2","osx","SE",141
"2022-12-19","11:51:39",79538106,"4.2.2","win","CN",142
"2022-12-19","11:51:32",90304587,"4.2.2","osx",NA,13
"2022-12-19","11:51:35",79627371,"4.2.2","win","TR",143
"2022-12-19","11:51:40",79626181,"4.2.2","win","DE",144
"2022-12-19","11:51:40",90825202,"4.1.2","osx","US",145
"2022-12-19","11:52:04",79635467,"4.2.2","win","HK",146
